Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
prairie-view-am,2021,11/20/2021,Away,texas-am,L,3,52,2,12,16.7,7,0,41,155,3.8,0,53,162,3.1,0,8,1,9,5,25,1,0,1
duquesne,2021,9/4/2021,Away,texas-christian,L,3,45,3,12,25,76,0,29,61,2.1,0,41,137,3.3,3,2,1,6,5,41,1,1,2
incarnate-word,2021,9/18/2021,Away,texas-state,W,42,34,31,47,66,376,4,23,79,3.4,2,70,455,6.5,18,7,2,27,7,35,2,1,3
stephen-f.-austin,2021,9/11/2021,Away,texas-tech,L,22,28,38,59,64.4,343,1,30,31,1,0,89,374,4.2,16,3,3,22,9,66,0,0,0
norfolk-state,2021,9/4/2021,Away,toledo,L,10,49,8,18,44.4,125,1,42,147,3.5,0,60,272,4.5,5,6,3,14,4,35,1,1,2
southern,2021,9/4/2021,Away,troy,L,3,55,12,21,57.1,108,0,28,81,2.9,0,49,189,3.9,6,5,0,11,9,82,0,4,4
morgan-state,2021,9/11/2021,Away,tulane,L,20,69,17,29,58.6,184,3,33,44,1.3,0,62,228,3.7,8,3,3,14,4,36,1,2,3
california-davis,2021,9/2/2021,Away,tulsa,W,19,17,28,36,77.8,311,1,46,88,1.9,0,82,399,4.9,15,5,5,25,7,54,0,0,0
jacksonville-state,2021,9/1/2021,Neutral,alabama-birmingham,L,0,31,18,35,51.4,86,0,16,66,4.1,0,51,152,3,2,4,2,8,9,60,0,0,0
bethune-cookman,2021,9/11/2021,Away,central-florida,L,14,63,29,51,56.9,255,2,14,24,1.7,0,65,279,4.3,15,2,2,19,6,40,0,1,1
weber-state,2021,9/2/2021,Away,utah,L,17,40,21,33,63.6,213,1,30,57,1.9,0,63,270,4.3,10,4,0,14,11,98,1,1,2
north-dakota,2021,9/10/2021,Away,utah-state,L,24,48,32,46,69.6,374,3,24,65,2.7,0,70,439,6.3,16,6,2,24,6,49,0,2,2
bethune-cookman,2021,9/4/2021,Away,texas-el-paso,L,28,38,15,22,68.2,215,2,25,118,4.7,2,47,333,7.1,6,3,3,12,12,102,1,1,2
lamar,2021,9/11/2021,Away,texas-san-antonio,L,0,54,6,13,46.2,33,0,36,89,2.5,0,49,122,2.5,1,8,1,10,6,45,2,0,2
east-tennessee-state,2021,9/4/2021,Away,vanderbilt,W,23,3,13,22,59.1,135,1,37,179,4.8,0,59,314,5.3,4,8,1,13,7,75,0,0,0
william-mary,2021,9/4/2021,Away,virginia,L,0,43,10,16,62.5,89,0,37,94,2.5,0,53,183,3.5,5,5,1,11,5,45,0,0,0
richmond,2021,9/25/2021,Away,virginia-tech,L,10,21,15,23,65.2,77,0,36,160,4.4,1,59,237,4,4,10,1,15,7,55,0,0,0
norfolk-state,2021,9/11/2021,Away,wake-forest,L,16,41,19,31,61.3,195,2,39,141,3.6,0,70,336,4.8,9,7,3,19,5,30,0,1,1
montana,2021,9/4/2021,Away,washington,W,13,7,12,23,52.2,105,0,34,127,3.7,1,57,232,4.1,4,5,1,10,7,81,0,0,0
portland-state,2021,9/11/2021,Away,washington-state,L,24,44,28,50,56,318,2,27,102,3.8,1,77,420,5.5,16,8,0,24,5,30,1,1,2
long-island,2021,9/11/2021,Away,west-virginia,L,0,66,11,21,52.4,60,0,31,35,1.1,0,52,95,1.8,2,3,4,9,3,25,1,0,1
tennessee-martin,2021,9/2/2021,Away,western-kentucky,L,21,59,20,43,46.5,195,1,34,201,5.9,2,77,396,5.1,9,9,4,22,9,79,1,1,2
illinois-state,2021,9/11/2021,Away,western-michigan,L,0,28,8,19,42.1,29,0,26,28,1.1,0,45,57,1.3,0,4,0,4,6,52,0,1,1
montana-state,2021,9/4/2021,Away,wyoming,L,16,19,19,29,65.5,200,2,29,123,4.2,0,58,323,5.6,10,4,3,17,5,32,1,0,1
